ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
ECCC38_10132018,rainbow,2018,October,,,0.57,1,001,0.003,0.007,,,,,,1,4,,,0,,,,
ECCC3_10132018,rainbow,2018,October,,,0.96,3,013/048/057,0.003,0.007,,,,,,2,2/3/4,,,0,,,,
ECCC41_10132018,rainbow,2018,October,,,0.6,1,016,0.003,0.007,,,,,,1,3,,,0,,,,
ECCC42_10132018,rainbow,2018,October,,,0.71,1,124,0.060,0.007,,,,,,1,3,,,0,,,,
ECCC43_10132018,rainbow,2018,October,,,0.66,3,001/017/018,0.003,0.123,,,,,,2,1/3/4,,,0,,,,
ECCC44_10132018,rainbow,2018,October,,,0.48,1,004,0.016,0.007,,,,,,1,2,,,0,,,,
ECCC45_10132018,rainbow,2018,October,,,0.58,1,004,0.016,0.034,,,,,,1,2,,,0,,,,
ECCC46_10132018,rainbow,2018,October,,,0.46,3,001/004/012,0.003,0.034,,,,,,3,2/3/4,,,0,,,,
ECCC4_10132018,rainbow,2018,October,,,0.68,1,011,0.006,0.007,,,,,,1,3,,,0,,,,
ECCC5_10132018,rainbow,2018,October,,,0.85,1,003,0.003,0.014,,,,,,1,3,,,0,,,,
ECCC6_10132018,rainbow,2018,October,,,1.35,3,001/020/057,0.003,0.007,,,,,,3,2/3/4,,,0,,,,
ECCC7_10132018,rainbow,2018,October,,,0.65,3,004/005/006,0.016,0.007,,,,,,3,2/3/4,,,0,,,,
ECCC8_10132018,rainbow,2018,October,,,0.82,3,012/021/022,0.003,0.034,,,,,,1,3,,,0,,,,
ECCC9_10132018,rainbow,2018,October,,,0.77,1,023,0.013,0.007,,,,,,1,3,,,0,,,,
